num,dyad,id,time,RM,party,timecontrast1_pre_post,timecontrast2_pre_followup,timecontrast3_post_pre,timecontrast4_post_followup,timecontrast5_followup_pre,timecontrast6_followup_post,IH,affiliation_C
244,913,34,1,4,1,0,0,1,0,1,0,3.5,-0.1983
245,913,34,2,5,1,1,0,0,0,0,1,5,-0.1983
246,913,34,3,6,1,0,1,0,1,0,0, ,-0.1983
247,929,127,1,1,-1,0,0,1,0,1,0,6,-0.6983
248,929,127,2,2,-1,1,0,0,0,0,1,4,-0.6983
249,929,127,3,3,-1,0,1,0,1,0,0, ,-0.6983
250,929,637,1,4,1,0,0,1,0,1,0,6,0.3017
251,929,637,2,5,1,1,0,0,0,0,1,6.5,0.3017
252,929,637,3,6,1,0,1,0,1,0,0, ,0.3017
253,1003,56,1,1,-1,0,0,1,0,1,0,6,0.3017
254,1003,56,2,2,-1,1,0,0,0,0,1,6,0.3017
255,1003,56,3,3,-1,0,1,0,1,0,0, ,0.3017
256,1003,293,1,4,1,0,0,1,0,1,0,5.5,0.5517
257,1003,293,2,5,1,1,0,0,0,0,1, ,0.5517
258,1003,293,3,6,1,0,1,0,1,0,0, ,0.5517
259,1011,681,1,1,-1,0,0,1,0,1,0,6.5,-0.9483
260,1011,681,2,2,-1,1,0,0,0,0,1,6,-0.9483
261,1011,681,3,3,-1,0,1,0,1,0,0, ,-0.9483
262,1011,662,1,4,1,0,0,1,0,1,0,6.5,0.0517
263,1011,662,2,5,1,1,0,0,0,0,1,6.5,0.0517
264,1011,662,3,6,1,0,1,0,1,0,0, ,0.0517
265,1024,58,1,1,-1,0,0,1,0,1,0,6,0.3017
266,1024,58,2,2,-1,1,0,0,0,0,1,6,0.3017
267,1024,58,3,3,-1,0,1,0,1,0,0,5.5,0.3017
268,1024,855,1,4,1,0,0,1,0,1,0,6,-0.9483
269,1024,855,2,5,1,1,0,0,0,0,1,7,-0.9483
270,1024,855,3,6,1,0,1,0,1,0,0,5.5,-0.9483
271,1027,501,1,1,-1,0,0,1,0,1,0,6,-0.9483
272,1027,501,2,2,-1,1,0,0,0,0,1,6,-0.9483
273,1027,501,3,3,-1,0,1,0,1,0,0,6,-0.9483
274,1027,349,1,4,1,0,0,1,0,1,0,5.5,0.5517
275,1027,349,2,5,1,1,0,0,0,0,1,7,0.5517
276,1027,349,3,6,1,0,1,0,1,0,0,7,0.5517
277,1030,221,1,1,-1,0,0,1,0,1,0,6,0.5517
278,1030,221,2,2,-1,1,0,0,0,0,1,7,0.5517
279,1030,221,3,3,-1,0,1,0,1,0,0, ,0.5517
280,1030,38,1,4,1,0,0,1,0,1,0,5.5,-0.4483
281,1030,38,2,5,1,1,0,0,0,0,1,6,-0.4483
282,1030,38,3,6,1,0,1,0,1,0,0,6,-0.4483
283,1033,80,1,1,-1,0,0,1,0,1,0,3.5,0.5517
284,1033,80,2,2,-1,1,0,0,0,0,1,6,0.5517
285,1033,80,3,3,-1,0,1,0,1,0,0, ,0.5517
286,1045,589,1,1,-1,0,0,1,0,1,0,6,0.5517
287,1045,589,2,2,-1,1,0,0,0,0,1,7,0.5517
288,1045,589,3,3,-1,0,1,0,1,0,0, ,0.5517
289,1045,534,1,4,1,0,0,1,0,1,0,6,0.5517
290,1045,534,2,5,1,1,0,0,0,0,1,7,0.5517
291,1045,534,3,6,1,0,1,0,1,0,0, ,0.5517
292,1059,450,1,1,-1,0,0,1,0,1,0,7,-1.4483
293,1059,450,2,2,-1,1,0,0,0,0,1, ,-1.4483
294,1059,450,3,3,-1,0,1,0,1,0,0, ,-1.4483
295,1059,515,1,4,1,0,0,1,0,1,0,4,-0.4483
296,1059,515,2,5,1,1,0,0,0,0,1,6.5,-0.4483
297,1059,515,3,6,1,0,1,0,1,0,0, ,-0.4483
298,1072,101,1,1,-1,0,0,1,0,1,0,6,-2.1983
299,1072,101,2,2,-1,1,0,0,0,0,1,6,-2.1983
300,1072,101,3,3,-1,0,1,0,1,0,0, ,-2.1983
301,1072,371,1,4,1,0,0,1,0,1,0,6,0.5517
302,1072,371,2,5,1,1,0,0,0,0,1,6,0.5517
303,1072,371,3,6,1,0,1,0,1,0,0, ,0.5517
304,1079,95,1,1,-1,0,0,1,0,1,0,7,-0.4483
305,1079,95,2,2,-1,1,0,0,0,0,1,6,-0.4483
306,1079,95,3,3,-1,0,1,0,1,0,0, ,-0.4483
307,1079,485,1,4,1,0,0,1,0,1,0,4,0.5517
308,1079,485,2,5,1,1,0,0,0,0,1,4.5,0.5517
309,1079,485,3,6,1,0,1,0,1,0,0, ,0.5517
310,1082,89,1,1,-1,0,0,1,0,1,0,5.5,0.5517
